"star"
"Director General"
"Director general adjunct"
"tehnologii informationale"
"empty field"
"statistica intreprinderilor"
"statistica macroeconomica"
"colectarea datelor entitati economice"
"statistica sociala si demografie"
"CRS mun. Chisinau"
"CRS NORD"
"CRS NORD Balti"
"CRS NORD Briceni"
"CRS NORD Donduseni"
"CRS NORD Drochia"
"CRS NORD Falesti"
"CRS NORD Floresti"
"CRS NORD Glodeni"
"CRS NORD Ocnita"
"CRS NORD Rezina"
"CRS NORD Rascani"
"CRS NORD Sangerei"
"CRS NORD Soroca"
"CRS NORD Soldanesti"
"CRS NORD Telenesti"
"CRS CENTRU"
"CRS CENTRU Anenii Noi"
"CRS CENTRU Calarasi"
"CRS CENTRU Causeni"
"CRS CENTRU Cimislia"
"CRS CENTRU Criuleni"
"CRS CENTRU Dubasari (Cocieri)"
"CRS CENTRU Hancesti"
"CRS CENTRU Ialoveni"
"CRS CENTRU Orhei"
"CRS CENTRU Straseni"
"CRS CENTRU Stefan Voda"
"CRS CENTRU Ungheni"
"CRS SUD"
"CRS SUD Basarabeasca"
"CRS SUD Cahul"
"CRS SUD Cantemir"
"CRS SUD Leova"
"CRS SUD Taraclia"
"CRS NORD Edinet"
"Centrul regional pentru statistica CENTRU"
"CRS CENTRU Nisporeni"
"CRS SUD UTA Gagauzia"
"Linia Verde"
"Sectia instruire in statistica oficiala"
""
